group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,8,8,elements,411774138.0,ns,2
dot,Prove,8,8,elements,340258258.0,ns,2
dot,Prove,8,8,elements,329401160.0,ns,2
dot,Prove,8,8,elements,533492815.0,ns,2
dot,Prove,8,8,elements,340536173.0,ns,2
dot,Prove,8,8,elements,315671325.0,ns,2
dot,Prove,8,8,elements,386078257.0,ns,2
dot,Prove,8,8,elements,321815988.0,ns,2
dot,Prove,8,8,elements,338227279.0,ns,2
dot,Prove,8,8,elements,350454071.0,ns,2
dot,Prove,8,8,elements,350038772.0,ns,2
dot,Prove,8,8,elements,337226057.0,ns,2
dot,Prove,8,8,elements,292314372.0,ns,2
dot,Prove,8,8,elements,1192792082.0,ns,2
dot,Prove,8,8,elements,765205452.0,ns,2
dot,Prove,8,8,elements,529439063.0,ns,2
dot,Prove,8,8,elements,576920465.0,ns,2
dot,Prove,8,8,elements,560182113.0,ns,2
dot,Prove,8,8,elements,499451669.0,ns,2
dot,Prove,8,8,elements,361602934.0,ns,2
